algoritmo,heuristica,estados_gerados,estados_visitados,custo_total,sucesso,tamanho_caminho,codigo_entrada
A*,h1_DE_x1,498,165,79,True,19,exp3_001
A*,h2_DE_x3,358,118,79,True,19,exp3_001
A*,h3_DE_x6,180,59,80,True,19,exp3_001
A*,h4_DM_x1,479,159,79,True,19,exp3_001
A*,h5_DM_x3,307,100,79,True,19,exp3_001
A*,h6_DM_x6,218,72,98,True,23,exp3_001
A*,h1_DE_x1,263,80,37,True,10,exp3_002
A*,h2_DE_x3,137,39,37,True,10,exp3_002
A*,h3_DE_x6,44,13,38,True,10,exp3_002
A*,h4_DM_x1,244,74,37,True,10,exp3_002
A*,h5_DM_x3,85,25,37,True,10,exp3_002
A*,h6_DM_x6,33,10,38,True,10,exp3_002
A*,h1_DE_x1,46,15,16,True,5,exp3_003
A*,h2_DE_x3,27,9,16,True,5,exp3_003
A*,h3_DE_x6,17,6,16,True,5,exp3_003
A*,h4_DM_x1,40,13,16,True,5,exp3_003
A*,h5_DM_x3,25,8,16,True,5,exp3_003
A*,h6_DM_x6,15,5,16,True,5,exp3_003
A*,h1_DE_x1,332,106,57,True,14,exp3_004
A*,h2_DE_x3,226,70,57,True,14,exp3_004
A*,h3_DE_x6,67,21,57,True,14,exp3_004
A*,h4_DM_x1,318,101,57,True,14,exp3_004
A*,h5_DM_x3,156,48,57,True,14,exp3_004
A*,h6_DM_x6,97,30,60,True,14,exp3_004
A*,h1_DE_x1,117,38,35,True,10,exp3_005
A*,h2_DE_x3,103,32,35,True,10,exp3_005
A*,h3_DE_x6,42,12,35,True,10,exp3_005
A*,h4_DM_x1,115,37,35,True,10,exp3_005
A*,h5_DM_x3,83,25,35,True,10,exp3_005
A*,h6_DM_x6,34,10,35,True,10,exp3_005
A*,h1_DE_x1,536,178,98,True,24,exp3_006
A*,h2_DE_x3,519,169,98,True,24,exp3_006
A*,h3_DE_x6,208,65,98,True,24,exp3_006
A*,h4_DM_x1,536,178,98,True,24,exp3_006
A*,h5_DM_x3,477,152,98,True,24,exp3_006
A*,h6_DM_x6,104,33,98,True,24,exp3_006
A*,h1_DE_x1,24,9,12,True,4,exp3_007
A*,h2_DE_x3,11,4,12,True,4,exp3_007
A*,h3_DE_x6,11,4,12,True,4,exp3_007
A*,h4_DM_x1,21,8,12,True,4,exp3_007
A*,h5_DM_x3,11,4,12,True,4,exp3_007
A*,h6_DM_x6,11,4,12,True,4,exp3_007
A*,h1_DE_x1,389,128,63,True,15,exp3_008
A*,h2_DE_x3,234,76,63,True,15,exp3_008
A*,h3_DE_x6,63,19,64,True,15,exp3_008
A*,h4_DM_x1,365,121,63,True,15,exp3_008
A*,h5_DM_x3,157,51,63,True,15,exp3_008
A*,h6_DM_x6,76,25,63,True,15,exp3_008
A*,h1_DE_x1,69,21,22,True,7,exp3_009
A*,h2_DE_x3,47,14,22,True,7,exp3_009
A*,h3_DE_x6,26,8,22,True,7,exp3_009
A*,h4_DM_x1,65,20,22,True,7,exp3_009
A*,h5_DM_x3,45,13,22,True,7,exp3_009
A*,h6_DM_x6,22,7,22,True,7,exp3_009
A*,h1_DE_x1,216,66,45,True,12,exp3_010
A*,h2_DE_x3,126,39,45,True,12,exp3_010
A*,h3_DE_x6,50,15,45,True,12,exp3_010
A*,h4_DM_x1,207,63,45,True,12,exp3_010
A*,h5_DM_x3,104,31,45,True,12,exp3_010
A*,h6_DM_x6,39,12,45,True,12,exp3_010
A*,h1_DE_x1,423,142,59,True,14,exp3_011
A*,h2_DE_x3,247,81,59,True,14,exp3_011
A*,h3_DE_x6,60,19,59,True,14,exp3_011
A*,h4_DM_x1,392,131,59,True,14,exp3_011
A*,h5_DM_x3,164,54,59,True,14,exp3_011
A*,h6_DM_x6,67,23,59,True,14,exp3_011
A*,h1_DE_x1,206,65,41,True,11,exp3_012
A*,h2_DE_x3,141,43,41,True,11,exp3_012
A*,h3_DE_x6,74,21,44,True,11,exp3_012
A*,h4_DM_x1,201,63,41,True,11,exp3_012
A*,h5_DM_x3,120,36,41,True,11,exp3_012
A*,h6_DM_x6,38,11,41,True,11,exp3_012
A*,h1_DE_x1,206,65,43,True,11,exp3_013
A*,h2_DE_x3,173,53,43,True,11,exp3_013
A*,h3_DE_x6,71,20,43,True,11,exp3_013
A*,h4_DM_x1,200,63,43,True,11,exp3_013
A*,h5_DM_x3,143,43,43,True,11,exp3_013
A*,h6_DM_x6,39,12,46,True,11,exp3_013
A*,h1_DE_x1,473,150,56,True,15,exp3_014
A*,h2_DE_x3,246,74,56,True,15,exp3_014
A*,h3_DE_x6,107,31,57,True,15,exp3_014
A*,h4_DM_x1,455,142,56,True,15,exp3_014
A*,h5_DM_x3,180,53,56,True,15,exp3_014
A*,h6_DM_x6,65,19,60,True,15,exp3_014
A*,h1_DE_x1,515,173,74,True,19,exp3_015
A*,h2_DE_x3,400,128,74,True,19,exp3_015
A*,h3_DE_x6,149,47,74,True,19,exp3_015
A*,h4_DM_x1,511,170,74,True,19,exp3_015
A*,h5_DM_x3,308,95,74,True,19,exp3_015
A*,h6_DM_x6,144,46,94,True,23,exp3_015
A*,h1_DE_x1,45,17,22,True,6,exp3_016
A*,h2_DE_x3,17,7,22,True,6,exp3_016
A*,h3_DE_x6,14,6,22,True,6,exp3_016
A*,h4_DM_x1,36,14,22,True,6,exp3_016
A*,h5_DM_x3,14,6,22,True,6,exp3_016
A*,h6_DM_x6,14,6,22,True,6,exp3_016
A*,h1_DE_x1,167,52,35,True,8,exp3_017
A*,h2_DE_x3,72,24,35,True,8,exp3_017
A*,h3_DE_x6,26,10,35,True,8,exp3_017
A*,h4_DM_x1,144,45,35,True,8,exp3_017
A*,h5_DM_x3,52,18,35,True,8,exp3_017
A*,h6_DM_x6,26,10,35,True,8,exp3_017
A*,h1_DE_x1,310,96,57,True,15,exp3_018
A*,h2_DE_x3,204,62,57,True,15,exp3_018
A*,h3_DE_x6,62,19,58,True,15,exp3_018
