algoritmo,heuristica,estados_gerados,estados_visitados,custo_total,sucesso,tamanho_caminho,codigo_entrada
A*,h4_DM_x1,288,89,57,True,15,exp3_018
A*,h5_DM_x3,169,50,57,True,15,exp3_018
A*,h6_DM_x6,58,17,59,True,15,exp3_018
A*,h1_DE_x1,293,87,41,True,11,exp3_019
A*,h2_DE_x3,185,52,41,True,11,exp3_019
A*,h3_DE_x6,59,17,42,True,11,exp3_019
A*,h4_DM_x1,281,83,41,True,11,exp3_019
A*,h5_DM_x3,134,38,41,True,11,exp3_019
A*,h6_DM_x6,67,21,41,True,11,exp3_019
A*,h1_DE_x1,150,48,31,True,9,exp3_020
A*,h2_DE_x3,80,24,31,True,9,exp3_020
A*,h3_DE_x6,47,14,31,True,9,exp3_020
A*,h4_DM_x1,139,44,31,True,9,exp3_020
A*,h5_DM_x3,69,21,31,True,9,exp3_020
A*,h6_DM_x6,31,9,31,True,9,exp3_020
